class,text,hate
Hate,hurray saving us many ways #lockthemup #buildthewall #enddaca #boycottnfl #boycottnike,1
Hate,would young fighting age men vast majority ones escaping war amp cannot fight like women children elderlyits majority refugees actually refugees economic migrants trying get europe ,1
Hate, illegals dump kids border like road kill refuse unite hope get amnesty free education welfare illegal #familesbelongtogether country taxpayer dime scam #nodaca #noamnesty #sendthe,1
Non-Hate,ny times nearly white states pose array problems immigrants ,0
Non-Hate,orban brussels european leaders ignoring people want migrants ,0
Hate, legal illegal #buildthatwall,1
Non-Hate, antifa pack druggie misfits one loves violent thugs cry attention hit self importance#juveniledelinquents,0
Non-Hate,exteacher pleads guilty rape charges ,0
Non-Hate,still places bengali sylheti class londons nd language know anyone interested ,0
Non-Hate,dfid africa regional profile july ,0
Non-Hate,watch benjamin netanyahu backs trumps decision cut aid palestinians unrwa free speech time ,0
Hate, illegals dumping kids heres get welfare aid us school ripping us taxpayers #sendthemback stop alowing illegals abuse taxpayer #immigration via ,1
Non-Hate,costa rica received asylum claims panama mexico usa also recorded growing trend claims nicaraguans need international refugee protection ,0
Non-Hate,us immigrant policy enter us always education skill amp sponsor take responsibility last yrs us taken many education means support many never learn english catch amp release many go welfare,0
Non-Hate,italys populist coalition poised defy eu plans deport migrants ,0
Hate,lithuania romania aided cia torture top european union court rules eu court joke silent europe destroyed forced islamist immigration,1
Hate,worldbank reports next years many refugees leave homeland specially africa feed europe able shoot protect homeland destroyed africans ,1
Hate,rich african countries dont take african migrantsrich muslim countries dont take muslim migrantsrich latin american countries dont take latin migrantsbut white countries suppose accept,1
Non-Hate,new research uncovers successes failures uks help syrian immigrants ,0
Non-Hate,immigration us million eu migrants allowed families also money leaving eu thats pay passage get uk,0
Non-Hate, close tunnels gunpowder ,0
Non-Hate,hitler left stain germany atrocities committed jews trump leave stain america atrocities hes commiting immigrant families hope reenactment nuremberg trials end reign #inhumane ,0
Non-Hate,past two weeks refugees arrived us arrived fy nearly behind schedule continue stand vulnerable #refugeeswelcome ,0
Non-Hate,church leaders determine ease #economic problems heart #humantrafficking plaguing #indonesia ,0
Non-Hate,buckle demands swear undying trust enemy nation #treason ,0
Hate, discussing #joebidens black box american success #whitegenocide #immigrationinvasion #jessewatters #watersworld,1
Non-Hate,cruel irony sikhs often look exotic american eyes even though tend among deeply assimilated immigrant groups course people theyre mistaken also dont deserve attacked ,0
Hate,eus hailed migrant plan road hell czech republic refuses involvement ,1
Non-Hate,could open home refugees need ,0
Hate,ms spreads states fed illegals daca recipients tied murders #nodaca #noamnesty#deportthemall#buildthewallamnesty creates illegal migration always always,1
Non-Hate,activists chained italian transport ministry protest immigration policy ,0
Non-Hate,spain migrants riot protest slow wifi uncomfortable bed disgusting food shelter free speech time ,0
Non-Hate,please listen syrian refugee germany asks people around world demand annihilation women children deliberate attacks hospitals medial people mass bombings tried crimes truly ,0
Hate,real truth cologne nordic countries others one trusts refugees better life doesnt mean u,1
Non-Hate,federal judge #trump imminent danger irreparable injury #refugees visaholders etc ,0
Hate,watch french mayor declares muslim migrants welcome free speech time ,1
Non-Hate,border ranchers shock msnbc facts illegal immigration via ,0
Non-Hate,texas moral responsibility protect detained immigrant kids hispanic lawmakers say yes jurisdictions many states union state laws child abuse ,0
Hate,two children washed barb wired beach another scum photographer another attempt get eu take migrants enough propaganda,1
Non-Hate,illegal alien charged murder homeless woman new york city #stoptheinvasion,0
Hate,watch muslim migrants terrorizing swedish people including elderly people stand way free speech time ,1
Non-Hate,eu worried populism tens thousands migrants reaching spain ,0
Hate,islam europe documentary arab african immigrants destroying via ,1
Non-Hate,attacks states immigrants dragged feet signing critical legislation protect immigrant community including sb sb sb sb sb #ilgov #twill ,0
Non-Hate,rescued migrants arrive pozzallo italy grants approval dock ,0
Hate, passenger harlingen dallastx infected many measles stop invasion #buildthatwall #kag,1
Hate,streets #uk look like years #brexitnow #stopimmigration,1
Non-Hate,legal immigrant leaves us visa renewed yet tons people give shit stance illegal immigration cuz logic stay awesome stay positive love ,0
Non-Hate,italian bishop warns europe must avoid fear xenophobia welcome muslim migrants via another christion moron death wish ,0
Hate, look forward made arab world rich got paid #buildthatwall,1
Non-Hate,establishment europe court humanrights court allows crimerefugees stay forever europe send back homeland court responsibility mulricriminal society future one says ,0
Non-Hate,dear thank giving back son immigrant came us pocket thank giving opportunity one biggest fans athletic prowess commitment education ultimate equalizer ,0
Non-Hate,plight #rohingya represents present future #myanmar much south #southeastasia ,0
Non-Hate,longer alone italian prime minister hails #eu migrant distribution success ,0
Non-Hate,lisdoonvarna village earmarked replacement along growing number towns cities right across ireland listen irish fg minister equality immigration ,0
Hate,lets build wall#buildthatwall,1
Non-Hate,us supreme court upholds donald trumps immigration travel ban via ,0
Non-Hate,worker charged sexually molesting eight children immigrant shelter #sasc #colga #speakup #speakout,0
Non-Hate,guatemalan mother separated yearold daughter waits ,0
Non-Hate,instead making illinois welcoming state turned back immigrant communities series bills sitting desk #ilgov #twill ,0
Hate, toronto last year longer looked like canada sad situation canadians good people immigration start deportations right homelands,1
Hate,democratic patriots pls call representatives demand #kavanaugh confirmed esp reelection #saturdaymotivation #usopen #maga #buildthatwall #rednationrising #walkaway,1
Non-Hate,new antimigrant national consensus ,0
Hate,sweden migrant raped year old grandmother christmas eve allowed remain sweden #swrm #sendthemhome #sweden #rapists via ,1
Non-Hate,right ,0
Non-Hate,immigrant mentality job taken away time make sure earn every day pepsis indra nooyi learned ceo ,0
Non-Hate,join teachin surviving violence ice experiences criminalized immigrant survivors thursday sf ,0
Non-Hate,polish prime minister mateusz morawiecki insisted poland would push discussion refugee relocations part eus migration politics,0
Hate, well said danielhis speeches smack alinsky divide conquer victimizing one group calling bigots racists fascist etc#maga #kag #potus #trump #news #votered #nodaca #walkaway #americafirst #usa #backtheblu,1
Hate, refugees illegal immigrants whether one documents difficult slum people beggars show valid documents except name voter list st,1
Non-Hate,refugees dont choose refugees definition refugees forced leave home country lives safety threatenedlearn refugees downloading free ebook things know refugees xd ,0
Non-Hate,rally support detained pizzaworker immigrant ,0
Hate,id say electrify water would kill wildlife #sendthemback,1
Non-Hate,actually milo alex friend white house aint nobody come unlike say muslims ot immigrant chilfren ,0
Hate,good newswe illegal immigrantsbangladeshi must go evidence stay assam ,1
Hate, deport illegal aliens kids back rd world nations american citizens taxpayers tired robbed rd world nation paying illegal aliens kids #maga #buildthewall #nodaca #noamne,1
Non-Hate, germans ok like rest western europe immigration problem came east romania partly responsible vote also eu unelected hardly claim represent european nation,0
Non-Hate,maninder felt immigration new zealand said via ,0
Non-Hate,failing integrate refugee children risks devastating consequences children youth school unemployed susceptible crime exploitation abuse possibly radicalization ,0
Hate,many lice find viennese schools refugees brought us gift rescue cost person ,1
Non-Hate,way damage lasvegas stupidity mgm turns nevertested law sue vegas shooting victims ,0
Hate, donating flights deport invaders back homeland #stoptheinvasion #deportthemall ,1
Non-Hate,russia russia di wait big scary russia helping people go home without detained etc ,0
Hate, fake news new stephen miller rule public charge rule part us #immigration law since us taxpayers give welfare immigrants import worlds poor #veterans #trump #maga ,1
Non-Hate,politifact florida bill nelson claims detained immigrant parents charged minute call children phony makes sick shared google feed,0
Hate, pl save delhi becoming slum cityamphub illegal migrantspl take lg help removing encroachmentsampeviction ims,1
Non-Hate,usual media giving two sides republican side democrat side immigration views bother offering allow supply demand labor decide many cross let econ supply demand decide,0
Non-Hate,netherlands girls per year become sex slaves migrant background men cape fear caller via ,0
Non-Hate,books help kids understand like #refugee #withrefugees ,0
Non-Hate,russian meddling syrian refugee repatriation,0
Hate, need improve country schools neighborhoods hospitals prisons kicking illegals #buildthedamnwall #buildthatwall,1
Non-Hate,every nation tribe tongue still applies theyre doorstep instead many refused go god started bring us antiimmigrant attitude mindset antigod period,0
Non-Hate,people say didnt immigrant central south america apply proper way keep forms decades immigration discriminated people color central south america,0
Non-Hate,mandy manning one world reliefs friends partners named national teacher year work #refugee #immigrant students read incredible story xd ,0
Non-Hate,starting pittsfield etv bcc presents access higher ed berkshire immigrant stories,0
Hate, cannot allowed happenchild kidnapper molester miller needs gone,1
Hate,thing wash away problem big red wave november#bigredwave #sendthemback #illegalcriminals,1
Non-Hate,canada using dna testing ancestry websites investigate migrants far im concerned entered undocumented illegally gave right privacy ,0
Hate,immigrant hung shot period animal ,1
Non-Hate,immigrant health workers uk ,0
Non-Hate,dont mess migrant dads #skimmlife via ,0
Hate,soon finished usturkey secretserv action fighter open syrian passports use stop immigration europe ,1
Hate, boy sure hated separated kids didnt they#liberalismisamentaldisorderthe kids shouldnt get stay #deportthemall #endfamilyseparation#stopcatchandrelease,1
Non-Hate,wonderful woman kind immigrant need ,0
Non-Hate,continued amp sustained damage tories ,0
Non-Hate,texas v daca draws federal judge andrew hanen big trouble looms immigrationactivists ,0
Hate, real talk eyes gouged rapefugee,1
